-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2004 through 12/31/2008 in LST
Location: Latitude  31.93   Longitude -4.42 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1307.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS10M,WD10M,RH2M,ALLSKY_SFC_SW_DWN,T2M
2004,1,1,0,87.48,3.75,331.3,90.18,0.0,3.69
2004,1,1,1,87.49,4.01,336.3,93.09,0.0,3.38
2004,1,1,2,87.48,4.2,340.8,94.7,0.0,3.19
2004,1,1,3,87.45,4.4,342.8,95.65,0.0,2.99
2004,1,1,4,87.42,4.31,342.0,96.39,0.0,2.74
2004,1,1,5,87.44,3.95,338.6,96.4,0.0,2.55
2004,1,1,6,87.46,3.57,331.4,95.31,0.0,2.46
2004,1,1,7,87.47,3.26,322.4,89.76,21.2,3.02
2004,1,1,8,87.53,3.55,315.9,67.21,184.57,7.15
2004,1,1,9,87.59,2.79,300.2,52.59,366.55,10.73
2004,1,1,10,87.6,2.76,256.6,41.2,479.72,14.03
2004,1,1,11,87.5,2.95,236.6,36.68,594.47,15.48
2004,1,1,12,87.38,2.91,226.3,33.76,618.55,16.38
2004,1,1,13,87.29,2.58,220.3,31.97,576.95,16.9
2004,1,1,14,87.25,2.07,214.2,31.44,476.2,16.94
2004,1,1,15,87.22,1.83,204.6,32.74,318.5,16.3
2004,1,1,16,87.22,1.63,188.8,42.89,131.05,14.17
2004,1,1,17,87.25,1.99,188.7,49.04,5.43,10.99
2004,1,1,18,87.3,2.19,202.8,53.9,0.0,9.52
2004,1,1,19,87.34,2.15,221.6,58.61,0.0,8.32
2004,1,1,20,87.36,2.07,240.2,61.77,0.0,7.49
2004,1,1,21,87.35,1.85,258.1,63.49,0.0,6.99
2004,1,1,22,87.31,1.56,284.8,63.82,0.0,6.78
2004,1,1,23,87.27,1.51,315.3,64.51,0.0,6.65
2004,1,2,0,87.24,1.53,334.1,65.17,0.0,6.56
2004,1,2,1,87.23,1.57,342.6,67.55,0.0,6.26
2004,1,2,2,87.22,1.72,343.1,71.52,0.0,5.68
2004,1,2,3,87.17,1.86,335.5,76.17,0.0,5.01
2004,1,2,4,87.12,2.04,332.9,81.24,0.0,4.29
2004,1,2,5,87.11,2.3,334.0,86.88,0.0,3.51
2004,1,2,6,87.11,2.57,334.6,92.84,0.0,2.8
2004,1,2,7,87.13,2.73,338.3,94.72,21.15,2.69
2004,1,2,8,87.18,3.04,343.6,72.69,185.12,6.68
2004,1,2,9,87.23,2.48,347.4,56.99,368.7,10.07
2004,1,2,10,87.22,1.64,349.8,38.66,515.83,13.86
2004,1,2,11,87.13,1.36,0.4,29.7,607.2,16.3
2004,1,2,12,87.0,0.87,347.4,26.67,629.88,17.65
2004,1,2,13,86.91,0.68,333.8,25.35,590.3,18.48
2004,1,2,14,86.84,0.67,279.5,25.04,483.9,18.79
2004,1,2,15,86.79,0.94,265.1,26.18,325.6,18.39
2004,1,2,16,86.77,0.54,256.0,39.87,136.43,15.56
2004,1,2,17,86.81,0.38,271.5,46.93,6.07,11.64
2004,1,2,18,86.88,0.77,317.6,51.82,0.0,9.97
2004,1,2,19,86.93,1.47,329.8,54.74,0.0,9.29
2004,1,2,20,86.95,2.11,336.0,60.1,0.0,8.48
2004,1,2,21,86.95,2.59,340.9,69.54,0.0,7.23
2004,1,2,22,86.92,2.95,345.7,81.27,0.0,5.82
2004,1,2,23,86.88,3.34,348.6,91.11,0.0,4.82
2004,1,3,0,86.84,4.25,346.5,95.78,0.0,4.4
2004,1,3,1,86.83,5.57,343.6,94.37,0.0,4.41
2004,1,3,2,86.81,6.25,342.6,94.48,0.0,3.96
2004,1,3,3,86.76,6.5,341.2,94.6,0.0,3.49
2004,1,3,4,86.73,6.48,340.3,94.06,0.0,3.0
2004,1,3,5,86.73,6.63,340.3,92.82,0.0,2.63
2004,1,3,6,86.75,6.81,341.7,91.0,0.0,2.39
2004,1,3,7,86.79,7.12,343.7,86.07,22.23,2.76
2004,1,3,8,86.84,7.89,346.8,70.43,192.15,5.34
2004,1,3,9,86.9,8.47,353.5,53.23,379.2,9.01
2004,1,3,10,86.88,8.81,0.5,41.05,527.2,12.06
2004,1,3,11,86.81,8.36,1.2,35.35,612.4,13.96
2004,1,3,12,86.72,7.72,359.6,32.66,634.6,15.17
2004,1,3,13,86.67,7.18,358.6,31.42,595.4,15.84
2004,1,3,14,86.65,6.76,357.6,31.56,489.77,15.96
2004,1,3,15,86.67,6.24,357.4,33.93,331.73,15.28
2004,1,3,16,86.71,4.61,359.3,41.61,141.48,13.09
2004,1,3,17,86.78,3.16,14.7,57.63,6.85,8.79
2004,1,3,18,86.85,3.07,21.6,65.78,0.0,7.29
2004,1,3,19,86.93,2.82,24.5,73.66,0.0,6.13
2004,1,3,20,86.99,2.58,23.1,80.64,0.0,5.15
2004,1,3,21,87.04,2.4,17.7,86.26,0.0,4.36
2004,1,3,22,87.05,2.28,10.9,91.12,0.0,3.72
2004,1,3,23,87.03,2.2,4.2,95.45,0.0,3.14
2004,1,4,0,87.01,2.12,358.9,98.17,0.0,2.66
2004,1,4,1,87.01,2.02,355.4,99.5,0.0,2.31
2004,1,4,2,86.99,1.9,352.7,99.5,0.0,2.06
2004,1,4,3,86.95,1.78,350.0,98.21,0.0,1.93
2004,1,4,4,86.94,1.6,349.2,95.54,0.0,2.0
2004,1,4,5,86.97,1.36,347.7,92.73,0.0,2.16
2004,1,4,6,87.01,1.14,342.0,90.12,0.0,2.33
2004,1,4,7,87.07,0.96,330.0,86.77,22.88,2.66
2004,1,4,8,87.14,0.76,303.7,72.28,192.48,5.33
2004,1,4,9,87.19,2.2,201.3,59.44,377.7,8.34
2004,1,4,10,87.17,3.54,206.1,52.12,524.22,10.32
2004,1,4,11,87.08,3.69,212.5,46.15,615.65,11.81
2004,1,4,12,86.97,3.27,217.5,40.62,639.08,13.09
2004,1,4,13,86.9,2.52,221.8,35.78,598.3,14.13
2004,1,4,14,86.86,1.76,224.8,32.55,493.4,14.74
2004,1,4,15,86.84,1.1,222.1,31.35,335.77,14.72
2004,1,4,16,86.86,0.82,178.6,40.23,145.18,13.08
2004,1,4,17,86.89,1.08,162.2,44.89,7.53,10.2
2004,1,4,18,86.96,0.79,160.0,49.72,0.0,8.62
2004,1,4,19,87.03,0.15,118.3,54.45,0.0,7.15
2004,1,4,20,87.1,0.64,8.1,58.31,0.0,6.24
2004,1,4,21,87.17,1.26,18.0,59.73,0.0,5.94
2004,1,4,22,87.21,1.83,25.9,63.47,0.0,5.11
2004,1,4,23,87.22,2.2,30.1,68.7,0.0,3.91
2004,1,5,0,87.24,2.3,34.7,72.06,0.0,3.02
2004,1,5,1,87.26,2.16,38.8,71.77,0.0,2.68
2004,1,5,2,87.26,1.82,37.6,69.72,0.0,2.6
2004,1,5,3,87.24,1.44,23.4,68.05,0.0,2.55
2004,1,5,4,87.24,1.18,4.4,67.81,0.0,2.44
2004,1,5,5,87.26,0.94,351.4,67.93,0.0,2.5
2004,1,5,6,87.3,0.66,346.0,68.13,0.0,2.62
2004,1,5,7,87.32,0.39,348.1,67.6,22.55,2.93
2004,1,5,8,87.37,0.17,20.6,59.42,194.15,5.42
2004,1,5,9,87.42,1.53,197.1,50.12,382.58,8.32
2004,1,5,10,87.44,3.55,208.1,42.92,531.7,11.08
2004,1,5,11,87.4,3.93,205.1,38.79,618.4,12.53
2004,1,5,12,87.35,3.94,200.4,35.97,641.08,13.52
2004,1,5,13,87.31,3.93,194.9,34.17,602.95,14.03
2004,1,5,14,87.31,3.9,188.5,33.78,496.52,14.01
2004,1,5,15,87.33,3.88,181.6,35.05,336.52,13.41
2004,1,5,16,87.36,3.15,172.5,42.12,144.05,11.35
2004,1,5,17,87.4,3.04,165.9,57.0,7.38,6.91
2004,1,5,18,87.46,3.23,169.3,61.73,0.0,5.55
2004,1,5,19,87.53,3.17,175.7,64.78,0.0,4.69
2004,1,5,20,87.59,3.05,184.7,66.7,0.0,3.99
2004,1,5,21,87.62,2.76,194.9,67.67,0.0,3.53
2004,1,5,22,87.62,2.28,203.2,66.66,0.0,3.48
2004,1,5,23,87.6,1.63,206.6,64.14,0.0,3.87
2004,1,6,0,87.58,0.94,203.3,62.33,0.0,4.16
2004,1,6,1,87.58,0.43,201.8,63.35,0.0,3.85
2004,1,6,2,87.56,0.3,273.8,64.47,0.0,3.52
2004,1,6,3,87.53,0.61,284.3,66.4,0.0,3.06
2004,1,6,4,87.53,0.89,275.8,68.17,0.0,2.65
2004,1,6,5,87.56,1.11,268.5,69.52,0.0,2.34
2004,1,6,6,87.58,1.25,258.0,71.2,0.0,2.01
2004,1,6,7,87.64,1.4,247.8,71.81,16.8,1.86
2004,1,6,8,87.7,1.51,238.8,62.65,169.2,4.3
2004,1,6,9,87.76,2.38,219.0,51.17,347.3,6.99
2004,1,6,10,87.76,3.38,203.5,41.91,501.75,9.77
2004,1,6,11,87.71,3.91,195.7,37.25,610.72,11.4
2004,1,6,12,87.64,4.28,193.5,34.83,629.08,12.45
2004,1,6,13,87.59,4.58,193.5,33.58,595.05,13.04
2004,1,6,14,87.57,4.71,192.8,33.28,486.92,13.09
2004,1,6,15,87.56,4.61,191.5,34.45,328.7,12.52
2004,1,6,16,87.57,3.49,184.4,40.59,145.23,10.5
2004,1,6,17,87.58,3.06,177.6,55.27,7.57,6.0
2004,1,6,18,87.61,2.99,184.0,59.05,0.0,4.54
2004,1,6,19,87.65,2.73,194.6,60.95,0.0,3.73
2004,1,6,20,87.67,2.32,204.5,61.36,0.0,3.35
2004,1,6,21,87.65,1.89,213.1,60.21,0.0,3.49
2004,1,6,22,87.65,1.88,225.4,60.36,0.0,3.37
2004,1,6,23,87.65,1.83,232.3,60.06,0.0,3.27
2004,1,7,0,87.66,1.72,234.9,59.83,0.0,2.98
2004,1,7,1,87.66,1.54,235.1,60.71,0.0,2.6
2004,1,7,2,87.61,0.96,244.8,59.21,0.0,2.81
2004,1,7,3,87.55,1.04,269.4,60.77,0.0,2.39
2004,1,7,4,87.55,1.6,265.7,64.1,0.0,1.6
2004,1,7,5,87.61,2.2,253.1,68.04,0.0,0.78
2004,1,7,6,87.6,1.85,271.9,66.36,0.0,1.17
2004,1,7,7,87.6,1.68,295.0,63.27,17.88,1.92
2004,1,7,8,87.62,1.59,300.6,56.39,141.98,4.5
2004,1,7,9,87.65,1.81,282.7,44.7,270.05,7.56
2004,1,7,10,87.65,1.79,249.0,36.71,389.15,10.52
2004,1,7,11,87.58,1.11,227.6,33.35,354.42,11.82
2004,1,7,12,87.53,1.31,204.4,31.65,520.92,12.56
2004,1,7,13,87.5,1.54,181.1,31.21,344.9,12.72
2004,1,7,14,87.51,1.88,182.4,31.9,287.38,12.48
2004,1,7,15,87.53,2.18,186.0,32.68,196.18,12.21
2004,1,7,16,87.54,1.95,189.8,43.68,89.1,10.15
2004,1,7,17,87.54,2.32,195.8,49.19,6.55,7.0
2004,1,7,18,87.56,1.85,218.9,48.96,0.0,6.22
2004,1,7,19,87.56,1.57,270.7,49.1,0.0,5.96
2004,1,7,20,87.55,2.13,314.0,53.21,0.0,5.15
2004,1,7,21,87.55,2.52,334.9,56.02,0.0,4.75
2004,1,7,22,87.54,2.76,350.0,57.84,0.0,4.54
2004,1,7,23,87.57,3.09,355.4,62.6,0.0,3.86
2004,1,8,0,87.6,3.35,358.8,65.89,0.0,3.68
2004,1,8,1,87.61,3.49,3.1,69.1,0.0,3.53
2004,1,8,2,87.6,3.65,4.7,74.74,0.0,2.85
2004,1,8,3,87.57,3.58,1.1,78.22,0.0,2.45
2004,1,8,4,87.57,3.58,354.9,82.12,0.0,1.87
2004,1,8,5,87.6,3.59,347.9,84.84,0.0,1.42
2004,1,8,6,87.64,3.6,342.5,86.67,0.0,1.13
2004,1,8,7,87.7,3.48,338.1,84.23,18.48,1.57
2004,1,8,8,87.76,4.05,337.5,61.35,173.75,6.29
2004,1,8,9,87.8,4.31,348.1,47.38,340.5,9.99
2004,1,8,10,87.79,4.17,354.5,36.11,479.48,13.15
2004,1,8,11,87.73,4.06,355.5,29.51,537.62,14.97
2004,1,8,12,87.68,3.75,0.9,25.42,628.15,16.16
2004,1,8,13,87.65,3.63,7.9,23.35,584.83,16.81
2004,1,8,14,87.61,3.66,13.7,22.82,493.8,16.92
2004,1,8,15,87.61,3.57,16.9,23.78,335.48,16.42
2004,1,8,16,87.65,2.33,27.7,34.43,147.7,13.7
2004,1,8,17,87.71,2.42,41.5,43.8,8.9,9.55
2004,1,8,18,87.76,2.35,37.7,47.18,0.0,8.34
2004,1,8,19,87.81,2.21,20.2,50.75,0.0,7.59
2004,1,8,20,87.85,2.44,0.5,55.85,0.0,6.66
2004,1,8,21,87.88,2.75,348.0,60.85,0.0,5.79
2004,1,8,22,87.88,2.97,341.6,65.31,0.0,5.06
2004,1,8,23,87.88,3.15,338.2,69.05,0.0,4.47
2004,1,9,0,87.86,3.37,337.7,71.85,0.0,3.97
2004,1,9,1,87.85,3.58,337.7,73.0,0.0,3.64
2004,1,9,2,87.86,3.59,335.9,72.07,0.0,3.51
2004,1,9,3,87.87,3.42,331.3,69.35,0.0,3.52
2004,1,9,4,87.88,3.22,327.3,64.95,0.0,3.7
2004,1,9,5,87.92,3.14,327.9,60.23,0.0,3.86
2004,1,9,6,87.95,3.11,330.6,56.36,0.0,3.96
2004,1,9,7,88.0,3.02,330.9,51.54,21.6,4.52
2004,1,9,8,88.07,2.87,329.7,42.07,192.2,8.61
2004,1,9,9,88.12,3.0,331.7,29.65,380.48,12.45
2004,1,9,10,88.11,2.57,353.5,24.21,529.25,15.98
2004,1,9,11,88.03,3.27,9.3,21.33,622.2,18.26
2004,1,9,12,87.92,4.29,18.2,19.62,646.4,19.73
2004,1,9,13,87.84,5.29,23.6,18.75,609.08,20.6
2004,1,9,14,87.79,5.84,27.4,18.93,505.52,20.74
2004,1,9,15,87.79,5.56,30.0,20.4,348.48,20.01
2004,1,9,16,87.83,3.29,35.3,30.35,157.32,16.59
2004,1,9,17,87.89,2.96,41.4,40.81,10.27,11.88
2004,1,9,18,87.97,2.89,37.0,44.29,0.0,10.51
2004,1,9,19,88.03,2.91,26.6,48.54,0.0,9.45
2004,1,9,20,88.07,3.01,13.3,54.29,0.0,8.37
2004,1,9,21,88.07,3.17,0.7,59.66,0.0,7.43
2004,1,9,22,88.06,3.42,352.4,63.33,0.0,6.69
2004,1,9,23,88.03,3.74,348.9,65.46,0.0,6.14
2004,1,10,0,87.99,4.04,348.3,65.92,0.0,5.8
2004,1,10,1,87.95,4.28,348.8,65.34,0.0,5.55
2004,1,10,2,87.9,4.51,349.8,63.68,0.0,5.39
2004,1,10,3,87.85,4.67,350.6,61.86,0.0,5.22
2004,1,10,4,87.83,4.71,350.7,61.04,0.0,4.96
2004,1,10,5,87.85,4.52,349.5,61.69,0.0,4.62
2004,1,10,6,87.91,4.07,344.6,63.45,0.0,4.23
2004,1,10,7,88.01,3.54,335.7,61.74,23.1,4.75
2004,1,10,8,88.09,3.38,328.4,48.3,197.5,9.46
2004,1,10,9,88.14,2.99,327.2,35.46,388.67,13.57
2004,1,10,10,88.1,1.22,348.7,26.36,540.58,17.32
2004,1,10,11,87.99,1.07,15.7,20.45,631.25,19.52
2004,1,10,12,87.86,1.86,24.5,17.13,659.5,20.93
2004,1,10,13,87.75,2.74,30.8,15.11,617.83,21.72
2004,1,10,14,87.68,3.6,35.3,14.14,521.08,21.89
2004,1,10,15,87.65,4.07,39.1,14.59,357.58,21.18
2004,1,10,16,87.65,2.83,47.9,25.48,164.93,17.43
2004,1,10,17,87.7,3.1,53.1,33.46,11.48,12.64
2004,1,10,18,87.76,3.16,49.5,36.81,0.0,11.12
2004,1,10,19,87.82,3.23,41.2,40.69,0.0,10.01
2004,1,10,20,87.84,3.4,31.4,46.48,0.0,8.93
2004,1,10,21,87.85,3.69,22.1,54.34,0.0,8.11
2004,1,10,22,87.82,3.91,15.3,62.03,0.0,7.6
2004,1,10,23,87.8,3.92,9.8,67.78,0.0,7.22
2004,1,11,0,87.77,3.78,4.9,71.3,0.0,6.83
2004,1,11,1,87.77,3.49,359.5,72.59,0.0,6.57
2004,1,11,2,87.77,3.1,352.4,72.52,0.0,6.41
2004,1,11,3,87.76,2.87,346.1,72.04,0.0,6.15
2004,1,11,4,87.75,2.77,345.8,69.67,0.0,6.21
2004,1,11,5,87.76,2.72,350.5,67.47,0.0,6.24
2004,1,11,6,87.79,2.68,355.1,65.76,0.0,6.23
2004,1,11,7,87.83,2.55,359.3,62.18,11.75,6.72
2004,1,11,8,87.88,2.46,7.2,54.12,108.4,9.33
2004,1,11,9,87.93,2.57,20.1,44.78,228.9,11.74
2004,1,11,10,87.93,2.16,70.0,39.08,336.58,13.57
2004,1,11,11,87.87,2.39,96.7,35.92,403.38,14.57
2004,1,11,12,87.78,2.6,110.5,34.97,500.02,14.97
2004,1,11,13,87.73,2.63,118.1,34.51,305.5,15.13
2004,1,11,14,87.72,2.57,123.3,35.13,285.75,14.85
2004,1,11,15,87.73,2.42,130.1,37.61,190.35,14.09
2004,1,11,16,87.76,1.73,138.3,47.82,85.85,12.1
2004,1,11,17,87.8,1.78,141.8,52.74,8.2,10.41
2004,1,11,18,87.84,1.33,139.9,53.17,0.0,10.2
2004,1,11,19,87.86,0.63,127.2,52.59,0.0,10.24
2004,1,11,20,87.88,0.39,10.4,53.54,0.0,9.88
2004,1,11,21,87.89,1.06,344.1,55.68,0.0,9.17
2004,1,11,22,87.89,1.48,341.4,57.71,0.0,8.51
2004,1,11,23,87.86,1.59,344.3,58.0,0.0,8.27
2004,1,12,0,87.83,1.56,350.4,57.58,0.0,8.21
2004,1,12,1,87.82,1.54,354.8,57.19,0.0,8.14
2004,1,12,2,87.79,1.51,357.0,57.08,0.0,8.03
2004,1,12,3,87.76,1.36,0.8,57.13,0.0,8.08
2004,1,12,4,87.74,1.27,1.4,57.5,0.0,8.08
2004,1,12,5,87.75,1.36,357.9,58.67,0.0,7.92
2004,1,12,6,87.79,1.64,349.8,60.49,0.0,7.61
2004,1,12,7,87.84,1.86,345.1,60.66,16.65,7.64
2004,1,12,8,87.9,1.58,345.0,54.61,159.5,10.0
2004,1,12,9,87.97,1.28,1.3,43.18,322.9,13.01
2004,1,12,10,87.98,1.45,124.6,35.67,472.48,15.31
2004,1,12,11,87.91,2.54,140.4,31.19,544.65,16.67
2004,1,12,12,87.82,2.9,145.4,28.74,548.67,17.37
2004,1,12,13,87.75,2.81,147.0,27.35,501.75,17.63
2004,1,12,14,87.72,2.52,147.3,26.74,402.38,17.49
2004,1,12,15,87.72,2.39,140.3,27.2,264.7,16.93
2004,1,12,16,87.74,1.9,138.0,35.9,121.05,14.88
2004,1,12,17,87.77,2.33,148.2,47.68,9.45,11.14
2004,1,12,18,87.82,2.33,157.0,53.01,0.0,9.56
2004,1,12,19,87.87,2.13,168.4,58.32,0.0,8.45
2004,1,12,20,87.92,1.75,183.9,62.84,0.0,7.74
2004,1,12,21,87.94,1.29,209.4,65.97,0.0,7.28
2004,1,12,22,87.94,1.01,249.8,68.65,0.0,6.85
2004,1,12,23,87.92,1.08,283.9,71.33,0.0,6.32
2004,1,13,0,87.9,1.23,300.7,73.93,0.0,5.8
2004,1,13,1,87.9,1.33,308.0,75.54,0.0,5.46
2004,1,13,2,87.89,1.52,312.6,77.01,0.0,5.18
2004,1,13,3,87.85,1.97,318.7,79.32,0.0,4.72
2004,1,13,4,87.82,2.42,324.7,81.1,0.0,4.22
2004,1,13,5,87.81,2.68,330.3,81.2,0.0,3.9
2004,1,13,6,87.81,2.77,334.1,78.81,0.0,3.83
2004,1,13,7,87.81,2.7,334.8,71.19,15.65,4.6
2004,1,13,8,87.84,2.39,331.0,53.38,163.5,8.65
2004,1,13,9,87.88,1.87,318.0,38.15,339.73,12.25
2004,1,13,10,87.89,1.7,195.0,26.19,495.52,15.68
2004,1,13,11,87.82,3.11,187.6,21.77,605.33,17.39
2004,1,13,12,87.71,3.79,191.7,20.77,644.9,18.07
2004,1,13,13,87.64,4.07,194.7,21.25,608.53,17.95
2004,1,13,14,87.61,4.01,195.2,22.69,503.83,17.26
2004,1,13,15,87.6,3.46,191.8,25.15,342.83,16.17
2004,1,13,16,87.6,2.13,185.4,33.59,161.52,14.03
2004,1,13,17,87.61,2.06,181.1,41.87,12.2,11.41
2004,1,13,18,87.63,1.77,182.9,43.25,0.0,10.66
2004,1,13,19,87.64,1.17,191.3,42.11,0.0,10.56
2004,1,13,20,87.63,0.39,240.8,41.09,0.0,10.37
2004,1,13,21,87.62,0.92,334.8,42.6,0.0,9.42
2004,1,13,22,87.6,1.62,344.6,45.86,0.0,8.2
2004,1,13,23,87.56,2.06,348.5,48.4,0.0,7.28
2004,1,14,0,87.53,2.23,351.5,49.4,0.0,6.77
2004,1,14,1,87.53,2.23,353.3,49.36,0.0,6.57
2004,1,14,2,87.52,2.15,352.8,49.11,0.0,6.43
2004,1,14,3,87.49,2.14,345.6,49.77,0.0,6.06
2004,1,14,4,87.47,2.22,337.5,50.86,0.0,5.57
2004,1,14,5,87.47,2.28,333.1,51.78,0.0,5.18
2004,1,14,6,87.48,2.31,329.0,52.36,0.0,4.89
2004,1,14,7,87.48,2.33,324.1,51.75,21.33,4.97
2004,1,14,8,87.49,2.19,319.3,44.02,190.73,8.45
2004,1,14,9,87.51,2.48,310.1,31.29,382.05,12.45
2004,1,14,10,87.5,1.98,304.1,23.16,536.1,15.79
2004,1,14,11,87.4,1.79,322.5,18.26,629.72,18.07
2004,1,14,12,87.27,1.72,341.0,14.94,656.92,19.77
2004,1,14,13,87.16,1.84,355.0,13.13,626.72,20.76
2004,1,14,14,87.11,2.1,4.6,12.46,523.0,21.02
2004,1,14,15,87.09,2.08,14.8,13.36,365.3,20.53
2004,1,14,16,87.1,1.02,38.2,24.61,172.4,17.3
2004,1,14,17,87.13,1.03,43.0,29.7,14.48,13.18
2004,1,14,18,87.2,1.26,26.0,32.92,0.0,11.72
2004,1,14,19,87.25,1.92,12.3,36.94,0.0,10.85
2004,1,14,20,87.29,2.74,7.5,45.33,0.0,9.09
2004,1,14,21,87.3,3.14,3.8,56.88,0.0,7.42
2004,1,14,22,87.3,3.25,0.0,69.18,0.0,6.42
2004,1,14,23,87.27,3.25,354.3,80.6,0.0,5.7
2004,1,15,0,87.24,3.23,345.5,89.06,0.0,5.13
2004,1,15,1,87.23,3.23,335.9,92.54,0.0,4.78
2004,1,15,2,87.21,3.24,328.4,90.82,0.0,4.64
2004,1,15,3,87.17,3.19,322.4,85.34,0.0,4.7
2004,1,15,4,87.15,3.06,317.1,78.14,0.0,4.88
2004,1,15,5,87.15,2.83,311.1,72.09,0.0,5.09
2004,1,15,6,87.19,2.57,301.2,67.11,0.0,5.31
2004,1,15,7,87.23,2.33,289.1,61.02,23.23,6.07
2004,1,15,8,87.28,1.92,273.3,47.59,196.62,10.19
2004,1,15,9,87.33,2.8,231.7,37.54,386.75,13.87
2004,1,15,10,87.34,4.42,210.9,33.34,537.75,16.0
2004,1,15,11,87.28,4.97,204.2,29.23,641.3,17.43
2004,1,15,12,87.18,5.13,199.5,26.33,671.62,18.33
2004,1,15,13,87.09,5.12,195.1,24.69,635.3,18.73
2004,1,15,14,87.04,5.02,190.3,24.18,535.95,18.63
2004,1,15,15,87.01,4.8,186.7,24.89,377.0,17.95
2004,1,15,16,87.0,3.49,180.5,31.28,181.05,15.66
2004,1,15,17,87.01,3.23,174.5,43.49,16.25,10.88
2004,1,15,18,87.04,3.2,177.7,46.55,0.0,9.46
2004,1,15,19,87.08,2.95,185.8,48.38,0.0,8.67
2004,1,15,20,87.11,2.6,197.0,49.93,0.0,8.06
2004,1,15,21,87.14,2.19,209.8,50.99,0.0,7.68
2004,1,15,22,87.14,1.85,223.0,51.74,0.0,7.39
2004,1,15,23,87.12,1.59,233.7,52.27,0.0,7.16
2004,1,16,0,87.09,1.36,240.4,52.31,0.0,7.03
2004,1,16,1,87.08,1.12,242.3,52.21,0.0,6.94
2004,1,16,2,87.06,0.9,240.6,52.78,0.0,6.66
2004,1,16,3,87.03,0.65,248.2,53.47,0.0,6.39
2004,1,16,4,87.01,0.35,286.4,54.92,0.0,5.92
2004,1,16,5,87.03,0.43,347.9,56.09,0.0,5.54
2004,1,16,6,87.08,0.78,8.1,57.63,0.0,5.08
2004,1,16,7,87.12,1.08,13.9,58.38,21.33,4.9
2004,1,16,8,87.16,1.22,22.6,51.7,189.02,7.29
2004,1,16,9,87.21,0.83,151.9,41.25,373.27,10.52
2004,1,16,10,87.22,2.4,180.2,34.09,521.25,13.37
2004,1,16,11,87.17,2.94,178.4,29.76,621.88,15.21
2004,1,16,12,87.08,3.23,173.6,27.24,671.53,16.32
2004,1,16,13,87.01,3.23,167.3,25.67,637.28,16.8
2004,1,16,14,86.99,3.19,160.4,25.01,530.62,16.8
2004,1,16,15,86.99,3.16,156.1,25.58,370.15,16.17
2004,1,16,16,87.02,2.48,154.2,31.64,182.27,14.11
