-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2009 through 12/31/2013 in LST
Location: Latitude  31.93   Longitude -4.42 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1307.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS10M,WD10M,RH2M,ALLSKY_SFC_SW_DWN,T2M
2009,1,1,0,87.62,1.33,289.8,94.26,0.0,3.76
2009,1,1,1,87.58,1.13,292.9,95.08,0.0,3.63
2009,1,1,2,87.55,1.17,288.0,95.96,0.0,3.39
2009,1,1,3,87.52,1.17,288.0,96.76,0.0,3.32
2009,1,1,4,87.48,1.16,296.1,98.0,0.0,3.16
2009,1,1,5,87.48,1.18,305.7,99.4,0.0,2.88
2009,1,1,6,87.49,1.32,316.2,99.97,0.0,2.67
2009,1,1,7,87.51,1.61,326.9,100.0,16.35,2.5
2009,1,1,8,87.54,2.4,331.9,89.22,151.93,5.05
2009,1,1,9,87.59,3.76,336.8,78.13,307.52,7.79
2009,1,1,10,87.62,4.2,344.8,68.08,438.48,10.13
2009,1,1,11,87.58,4.12,353.2,60.96,513.17,11.76
2009,1,1,12,87.51,3.69,1.4,56.14,540.38,12.82
2009,1,1,13,87.44,3.11,9.8,53.48,535.42,13.37
2009,1,1,14,87.41,2.58,18.8,52.43,437.95,13.38
2009,1,1,15,87.41,2.17,28.6,53.07,291.88,13.06
2009,1,1,16,87.42,1.39,52.3,67.74,121.93,11.32
2009,1,1,17,87.44,1.69,74.9,74.14,5.07,8.26
2009,1,1,18,87.5,1.56,80.1,78.56,0.0,7.14
2009,1,1,19,87.56,1.03,65.9,82.12,0.0,6.48
2009,1,1,20,87.6,0.85,11.6,84.76,0.0,5.9
2009,1,1,21,87.62,1.32,337.3,86.32,0.0,5.41
2009,1,1,22,87.63,1.63,327.0,87.47,0.0,4.96
2009,1,1,23,87.62,1.84,322.1,88.98,0.0,4.42
2009,1,2,0,87.58,2.02,320.2,90.17,0.0,3.9
2009,1,2,1,87.56,2.13,322.1,90.79,0.0,3.47
2009,1,2,2,87.55,2.27,322.5,90.99,0.0,3.07
2009,1,2,3,87.51,2.31,324.3,90.34,0.0,2.85
2009,1,2,4,87.49,2.32,327.3,89.01,0.0,2.7
2009,1,2,5,87.47,2.26,329.3,86.92,0.0,2.67
2009,1,2,6,87.48,2.15,330.1,84.37,0.0,2.72
2009,1,2,7,87.51,2.06,328.7,80.7,18.8,3.0
2009,1,2,8,87.55,1.82,326.7,74.33,177.5,5.9
2009,1,2,9,87.6,1.61,295.8,60.65,357.08,8.76
2009,1,2,10,87.61,2.04,252.0,51.15,501.92,11.67
